24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:21:59 | GET | cafeteria-api/categorias
31-03-2026 17:22:00 | GET | cafeteria-api/categorias
31-03-2026 17:22:01 | GET | cafeteria-api/categorias
31-03-2026 17:22:02 | GET | cafeteria-api/categorias
31-03-2026 17:22:05 | GET | cafeteria-api/categorias
31-03-2026 17:24:18 | GET | cafeteria-api/categorias
31-03-2026 17:24:55 | GET | cafeteria-api/categorias
31-03-2026 17:25:03 | GET | cafeteria-api/categorias
31-03-2026 17:25:12 | GET | cafeteria-api/categorias
31-03-2026 17:25:13 | GET | cafeteria-api/categorias
31-03-2026 17:25:57 | GET | cafeteria-api/produtos
31-03-2026 17:26:27 | GET | cafeteria-api/categorias
31-03-2026 17:26:33 | GET | cafeteria-api/produtos
31-03-2026 17:27:23 | GET | cafeteria-api/categorias
31-03-2026 17:27:28 | POST | cafeteria-api/categorias
31-03-2026 17:27:28 | GET | cafeteria-api/categorias
31-03-2026 17:27:30 | OPTIONS | cafeteria-api/categorias/7
31-03-2026 17:27:30 | DELETE | cafeteria-api/categorias/7
31-03-2026 17:27:30 | GET | cafeteria-api/categorias
31-03-2026 17:27:35 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 17:27:35 | DELETE | cafeteria-api/categorias/4
31-03-2026 17:27:35 | GET | cafeteria-api/categorias
31-03-2026 17:27:53 | POST | cafeteria-api/categorias
31-03-2026 17:27:54 | POST | cafeteria-api/categorias
31-03-2026 17:27:54 | POST | cafeteria-api/categorias
31-03-2026 17:27:55 | POST | cafeteria-api/categorias
31-03-2026 17:27:55 | POST | cafeteria-api/categorias
31-03-2026 17:27:55 | POST | cafeteria-api/categorias
31-03-2026 17:28:00 | POST | cafeteria-api/categorias
31-03-2026 17:28:00 | GET | cafeteria-api/categorias
31-03-2026 17:28:01 | GET | cafeteria-api/categorias
31-03-2026 17:28:02 | GET | cafeteria-api/categorias
31-03-2026 17:28:03 | GET | cafeteria-api/categorias
31-03-2026 17:28:03 | GET | cafeteria-api/categorias
31-03-2026 17:28:04 | GET | cafeteria-api/categorias
31-03-2026 17:28:04 | GET | cafeteria-api/categorias
31-03-2026 17:28:07 | GET | cafeteria-api/categorias
31-03-2026 17:28:08 | GET | cafeteria-api/categorias
31-03-2026 17:28:09 | GET | cafeteria-api/categorias
31-03-2026 17:28:11 | POST | cafeteria-api/categorias
31-03-2026 17:28:11 | GET | cafeteria-api/categorias
31-03-2026 17:28:11 | GET | cafeteria-api/categorias
31-03-2026 17:28:12 | GET | cafeteria-api/categorias
31-03-2026 17:28:12 | GET | cafeteria-api/categorias
31-03-2026 17:28:13 | GET | cafeteria-api/produtos
31-03-2026 17:28:13 | GET | cafeteria-api/categorias
31-03-2026 17:28:14 | GET | cafeteria-api/categorias
31-03-2026 17:28:19 | GET | cafeteria-api/categorias
31-03-2026 17:28:20 | GET | cafeteria-api/categorias
31-03-2026 17:28:28 | GET | cafeteria-api/categorias
31-03-2026 17:28:29 | GET | cafeteria-api/categorias
31-03-2026 17:28:30 | GET | cafeteria-api/categorias
31-03-2026 17:28:30 | GET | cafeteria-api/categorias
31-03-2026 17:28:30 | GET | cafeteria-api/categorias
31-03-2026 17:28:30 | GET | cafeteria-api/categorias
31-03-2026 17:28:31 | GET | cafeteria-api/categorias
31-03-2026 17:28:58 | GET | cafeteria-api/categorias
31-03-2026 17:28:59 | GET | cafeteria-api/produtos
31-03-2026 17:28:59 | GET | cafeteria-api/produtos
31-03-2026 17:28:59 | GET | cafeteria-api/produtos
31-03-2026 17:29:01 | GET | cafeteria-api/categorias
31-03-2026 17:29:02 | GET | cafeteria-api/categorias
31-03-2026 17:29:04 | POST | cafeteria-api/categorias
31-03-2026 17:29:04 | POST | cafeteria-api/categorias
31-03-2026 17:29:04 | POST | cafeteria-api/categorias
31-03-2026 17:29:04 | POST | cafeteria-api/categorias
31-03-2026 17:29:05 | POST | cafeteria-api/categorias
31-03-2026 17:29:14 | POST | cafeteria-api/categorias
31-03-2026 17:29:14 | GET | cafeteria-api/categorias
31-03-2026 17:29:14 | GET | cafeteria-api/categorias
31-03-2026 17:29:14 | GET | cafeteria-api/categorias
31-03-2026 17:29:14 | GET | cafeteria-api/categorias
31-03-2026 17:29:15 | GET | cafeteria-api/categorias
31-03-2026 17:29:43 | GET | cafeteria-api/categorias
31-03-2026 17:29:47 | POST | cafeteria-api/categorias
31-03-2026 17:29:47 | GET | cafeteria-api/categorias
31-03-2026 17:29:49 | OPTIONS | cafeteria-api/categorias/8
31-03-2026 17:29:49 | DELETE | cafeteria-api/categorias/8
31-03-2026 17:29:49 | GET | cafeteria-api/categorias
31-03-2026 17:29:50 | GET | cafeteria-api/produtos
31-03-2026 17:29:50 | GET | cafeteria-api/categorias
31-03-2026 17:30:13 | GET | cafeteria-api/produtos
31-03-2026 17:30:35 | GET | cafeteria-api/categorias
31-03-2026 18:25:38 | GET | cafeteria-api/produtos
31-03-2026 18:25:39 | GET | cafeteria-api/produtos
31-03-2026 18:25:40 | GET | cafeteria-api/produtos
31-03-2026 18:25:57 | GET | cafeteria-api/categorias
31-03-2026 18:25:58 | GET | cafeteria-api/produtos
31-03-2026 18:26:56 | GET | cafeteria-api/produtos
31-03-2026 18:28:29 | GET | cafeteria-api/produtos
31-03-2026 18:28:37 | GET | cafeteria-api/produtos
31-03-2026 18:28:38 | GET | cafeteria-api/produtos
31-03-2026 18:30:15 | GET | cafeteria-api/produtos
31-03-2026 18:30:20 | GET | cafeteria-api/produtos
31-03-2026 18:30:25 | GET | cafeteria-api/produtos
31-03-2026 18:30:28 | GET | cafeteria-api/produtos
31-03-2026 18:30:31 | GET | cafeteria-api/produtos
31-03-2026 18:30:34 | GET | cafeteria-api/produtos
31-03-2026 18:30:41 | GET | cafeteria-api/produtos
31-03-2026 18:36:06 | GET | cafeteria-api/categorias
31-03-2026 18:36:08 | POST | cafeteria-api/categorias
31-03-2026 18:36:08 | GET | cafeteria-api/categorias
31-03-2026 18:36:09 | OPTIONS | cafeteria-api/categorias/9
31-03-2026 18:36:09 | DELETE | cafeteria-api/categorias/9
31-03-2026 18:36:09 | GET | cafeteria-api/categorias
31-03-2026 18:36:12 | POST | cafeteria-api/categorias
31-03-2026 18:36:12 | GET | cafeteria-api/categorias
