2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:19:36 | GET | meus-planos-api/categorias
2026-04-10 14:19:43 | GET | meus-planos-api/categorias
2026-04-10 14:19:45 | GET | meus-planos-api/categorias
2026-04-10 14:19:47 | GET | meus-planos-api/categorias
2026-04-10 14:20:13 | GET | meus-planos-api/categorias
2026-04-10 14:20:32 | GET | meus-planos-api/categorias
2026-04-10 14:20:34 | GET | meus-planos-api/categorias
2026-04-10 14:20:36 | OPTIONS | meus-planos-api/categorias/1
2026-04-10 14:20:36 | DELETE | meus-planos-api/categorias/1
2026-04-10 14:20:36 | GET | meus-planos-api/categorias
2026-04-10 14:20:53 | GET | meus-planos-api/categorias
2026-04-10 14:21:13 | GET | meus-planos-api/categorias
2026-04-10 14:21:24 | GET | meus-planos-api/categorias
2026-04-10 14:21:50 | GET | meus-planos-api/categorias
2026-04-10 14:21:56 | GET | meus-planos-api/categorias
2026-04-10 14:22:05 | GET | meus-planos-api/categorias
2026-04-10 14:22:09 | GET | meus-planos-api/categorias
2026-04-10 14:22:10 | GET | meus-planos-api/categorias
2026-04-10 14:22:46 | GET | meus-planos-api/categorias
2026-04-10 14:23:01 | GET | meus-planos-api/categorias
2026-04-10 14:24:44 | GET | meus-planos-api/categorias
2026-04-10 14:24:48 | POST | meus-planos-api/categorias
2026-04-10 14:24:48 | GET | meus-planos-api/categorias
2026-04-10 14:25:02 | GET | meus-planos-api/categorias
2026-04-10 14:25:04 | GET | meus-planos-api/categorias
2026-04-10 14:25:10 | GET | meus-planos-api/categorias
2026-04-10 14:25:17 | GET | meus-planos-api/categorias
2026-04-10 14:27:00 | GET | meus-planos-api/categorias
2026-04-10 14:31:58 | GET | Meus-planos-API/produtos
2026-04-10 14:32:01 | GET | meus-planos-API/produtos
2026-04-10 14:32:04 | GET | meus-planos-API/itens
2026-04-10 14:32:21 | GET | meus-planos-API/itens
2026-04-10 14:32:22 | GET | meus-planos-API/itens
2026-04-10 14:32:26 | GET | meus-planos-API/itens
2026-04-10 14:32:31 | GET | meus-planos-API/itens
2026-04-10 14:32:32 | GET | meus-planos-API/itens
2026-04-10 14:32:34 | GET | meus-planos-API/itens
2026-04-10 14:33:23 | GET | meus-planos-API/itens
2026-04-10 14:33:26 | GET | meus-planos-API/itens
2026-04-10 14:33:27 | GET | meus-planos-API/itens
2026-04-10 14:33:31 | GET | meus-planos-API/itens
2026-04-10 14:33:40 | GET | meus-planos-API/itens
2026-04-10 14:33:45 | GET | meus-planos-API/itens
2026-04-10 14:37:39 | GET | meus-planos-API/itens
2026-04-10 14:38:04 | GET | meus-planos-API/itens
2026-04-10 14:38:23 | GET | meus-planos-API/itens
2026-04-10 14:38:27 | GET | meus-planos-API/itens
2026-04-10 14:38:33 | GET | meus-planos-API/itens
2026-04-10 14:38:47 | GET | meus-planos-API/itens
2026-04-10 14:38:49 | GET | meus-planos-API/itens
2026-04-10 14:38:52 | GET | meus-planos-API/itens
2026-04-10 14:39:13 | GET | meus-planos-API/itens
2026-04-10 14:39:15 | GET | meus-planos-API/itens
2026-04-10 14:39:25 | GET | meus-planos-API/itens
2026-04-10 14:41:44 | GET | meus-planos-API/itens
2026-04-10 14:41:46 | GET | meus-planos-API/itens
2026-04-10 14:42:14 | GET | meus-planos-API/itens
2026-04-10 14:42:43 | GET | meus-planos-API/itens
2026-04-10 14:42:48 | GET | meus-planos-API/itens
2026-04-10 14:42:52 | GET | meus-planos-API/itens
2026-04-10 14:43:00 | GET | meus-planos-API/itens
2026-04-10 14:43:02 | GET | meus-planos-API/itens
2026-04-10 14:43:05 | GET | meus-planos-API/itens
2026-04-10 14:43:07 | GET | meus-planos-API/itens
2026-04-10 14:43:26 | GET | meus-planos-API/itens
2026-04-10 14:45:38 | GET | meus-planos-API/itens
2026-04-10 14:45:46 | GET | meus-planos-API/itens
